date,country_code,country_name,us_bond_survey_pos,us_bond_adj_net_flow,us_bond_adj_val_chg,us_bond_monthly_gap,us_bond_est_pos,us_stk_survey_pos,us_stk_adj_net_flow,us_stk_adj_val_chg,us_stk_monthly_gap,us_stk_est_pos
1/31/2012,10804,France,ND,-1464,1564,484,88962,ND,-566,11586,-713,219525
1/31/2012,11002,Germany,ND,-7590,1147,5381,81003,ND,-682,17909,114,191507
1/31/2012,11207,Greece,ND,32,-44,-206,667,ND,-8,767,-400,3250
1/31/2012,11401,Ireland,ND,2310,848,-3083,34928,ND,135,-869,7028,120453
1/31/2012,11509,Italy,ND,-993,1089,-48,20904,ND,309,2660,645,44029
1/31/2012,11703,Luxembourg,ND,4456,1173,-5693,61143,ND,-353,1403,-1136,30885
1/31/2012,12009,Monaco,ND,20,0,-20,0,ND,2,2,56,69
1/31/2012,12106,Netherlands,ND,-6748,2071,2430,107344,ND,-201,4147,3096,126502
1/31/2012,12203,Norway,ND,-545,614,-1062,28451,ND,274,753,-601,21694
1/31/2012,12319,Portugal,ND,-191,-48,276,716,ND,20,-125,-33,3430
1/31/2012,12505,Spain,ND,-803,539,-395,21542,ND,-72,81,1100,54558
1/31/2012,12602,Sweden,ND,954,512,-1793,33591,ND,-144,3154,29,56902
1/31/2012,12688,Switzerland,ND,-530,295,311,5143,ND,-345,7202,3045,287748
1/31/2012,12807,Turkey,ND,-1195,374,696,11027,ND,-43,3187,-106,20325
1/31/2012,13005,UK,ND,-8498,5057,-7183,274538,ND,-1728,22028,3832,666051
1/31/2012,13006,Guernsey,ND,-37,16,70,3723,ND,10,647,-162,13920
1/31/2012,13007,Jersey,ND,-57,385,-4941,4446,ND,171,1172,-793,36817
1/31/2012,15288,CzechRep,ND,-111,14,72,492,ND,11,152,78,4004
1/31/2012,15768,Poland,ND,-623,967,384,17866,ND,12,1031,-548,7578
1/31/2012,16101,Russia,ND,45,231,-117,8635,ND,-10,6125,1195,50169
1/31/2012,16713,EuroArea,ND,-3841,8729,-9159,430663,ND,-1640,40585,8808,847774
1/31/2012,19992,EurTotal,ND,-14673,17856,-27144,841806,ND,-4328,88464,14901,2054830
1/31/2012,29998,Canada,ND,2244,6060,2793,340264,ND,-71,21087,6429,385982
1/31/2012,30104,Argentina,ND,72,550,-420,6865,ND,-50,448,-159,3160
1/31/2012,30155,Barbados,ND,-74,28,31,1548,ND,-284,4,278,15
1/31/2012,30309,Brazil,ND,617,2053,-2959,41099,ND,1297,22856,-249,178554
1/31/2012,30406,Chile,ND,-171,201,-2,11819,ND,63,780,223,12036
1/31/2012,30503,Colombia,ND,-658,242,701,11022,ND,168,403,-105,5018
1/31/2012,31704,Mexico,ND,1463,974,1956,49878,ND,-36,4368,-853,62902
1/31/2012,31887,Panama,ND,-45,-20,-154,4138,ND,23,-841,339,15736
1/31/2012,32204,Peru,ND,-258,-4,-29,5447,ND,112,284,-44,3513
