date,country_code,country_name,us_bond_survey_pos,us_bond_adj_net_flow,us_bond_adj_val_chg,us_bond_monthly_gap,us_bond_est_pos,us_stk_survey_pos,us_stk_adj_net_flow,us_stk_adj_val_chg,us_stk_monthly_gap,us_stk_est_pos
4/30/2014,12319,Portugal,ND,3,68,-479,3091,ND,21,120,458,9298
4/30/2014,12505,Spain,ND,-830,456,3238,46096,ND,-70,2919,-899,102042
4/30/2014,12602,Sweden,ND,1894,286,-979,44498,ND,-249,-774,173,92191
4/30/2014,12688,Switzerland,ND,226,132,-137,9838,ND,649,2717,3658,460180
4/30/2014,12807,Turkey,ND,-75,497,430,17236,ND,15,1526,177,25441
4/30/2014,13005,UK,ND,13838,2384,-8420,305277,ND,15196,39389,-3715,1010355
4/30/2014,13006,Guernsey,ND,1,14,-235,4862,ND,-6,1099,-610,29160
4/30/2014,13007,Jersey,ND,-384,65,649,8640,ND,85,2828,3354,73842
4/30/2014,15288,CzechRep,ND,2,9,7,978,ND,3,25,-6,2783
4/30/2014,15768,Poland,ND,-1674,7,1346,21071,ND,1,-86,373,11751
4/30/2014,16101,Russia,ND,-124,-272,140,11169,ND,-27,-3251,-771,45885
4/30/2014,16713,EuroArea,ND,8979,5074,-8967,594168,ND,-203,12883,824,1510625
4/30/2014,19992,EurTotal,ND,17870,8558,-13516,1100330,ND,15140,57428,4248,3371008
4/30/2014,29998,Canada,ND,-4707,2824,6213,387159,ND,275,11616,-771,438199
4/30/2014,30104,Argentina,ND,-125,180,843,7467,ND,-36,66,8,3068
4/30/2014,30155,Barbados,ND,731,87,-1067,2329,ND,-83,0,82,11
4/30/2014,30309,Brazil,ND,5146,983,-4862,58251,ND,533,3539,-59,137601
4/30/2014,30406,Chile,ND,1339,136,-798,13531,ND,-43,151,159,12949
4/30/2014,30503,Colombia,ND,277,275,-296,15328,ND,218,67,3,6808
4/30/2014,31704,Mexico,ND,2168,666,-1912,81881,ND,-180,138,212,68920
4/30/2014,31887,Panama,ND,164,83,156,6264,ND,179,392,182,21361
4/30/2014,32204,Peru,ND,-208,185,396,8316,ND,165,137,-245,2128
4/30/2014,32409,TrinidadTobago,ND,64,34,-100,975,ND,-11,0,11,5
4/30/2014,32603,Uruguay,ND,-109,39,77,3143,ND,-108,1,108,60
4/30/2014,32719,Venezuela,ND,103,808,211,10728,ND,-44,3,21,72
4/30/2014,34401,CaribTotal,ND,-90,2179,8523,297738,ND,5284,12385,-13612,1037575
4/30/2014,35254,Aruba,ND,9,5,87,269,ND,0,0,0,0
4/30/2014,35319,Bahamas,ND,-99,8,-19,930,ND,297,65,-282,5158
4/30/2014,35602,Bermuda,ND,345,268,-494,32697,ND,-51,1891,-1413,188230
4/30/2014,35807,BritishVI,ND,192,88,1886,12038,ND,-363,406,911,55892
4/30/2014,36137,Cayman,ND,374,1017,6597,242977,ND,3509,5157,-9121,697473
4/30/2014,36188,Curacao,ND,54,27,149,3212,ND,104,3441,-398,91746
4/30/2014,37206,NethAnt,ND,61,27,171,4049,ND,103,3576,-726,72723
4/30/2014,39001,CaribBanking,ND,653,1403,8710,294555,ND,4400,11081,-9685,977689
4/30/2014,39942,LATotal,ND,9015,3564,-6376,208878,ND,655,4500,333,253160
4/30/2014,41408,China,ND,673,2,-709,843,ND,309,-2176,624,92186
4/30/2014,42005,HongKong,ND,-2084,23,2203,2552,ND,3089,3065,-2540,130580
4/30/2014,42102,India,ND,18,-2,139,3470,ND,-136,-1036,927,93106
4/30/2014,42218,Indonesia,ND,-854,16,851,15509,ND,216,49,72,30186
4/30/2014,42501,Israel,ND,-68,44,88,16630,ND,-84,-1121,-1928,49379
4/30/2014,42609,Japan,ND,-714,597,2308,75210,ND,272,-14936,11695,573237
4/30/2014,43001,Korea,ND,-4257,651,4359,34326,ND,-14,2413,2029,148257
4/30/2014,43419,Lebanon,ND,1,0,34,603,ND,-11,-3,22,104
4/30/2014,43605,Malaysia,ND,-2017,84,586,11484,ND,-42,239,354,28165
4/30/2014,44806,Philippines,ND,118,40,-154,6882,ND,16,620,428,16097
4/30/2014,46019,Singapore,ND,-578,56,938,9030,ND,1414,1917,-2104,66495
4/30/2014,46302,Taiwan,ND,-35,1,45,150,ND,449,1216,1125,104790
4/30/2014,46418,Thailand,ND,227,8,-98,3257,ND,376,972,177,32669
4/30/2014,46604,UAE,ND,-185,11,56,4090,ND,-88,-140,635,4868
4/30/2014,49999,AsiaTotal,ND,-9921,1586,10808,194396,ND,5614,-8933,12097,1378125
4/30/2014,53201,Liberia,ND,0,10,-1,1354,ND,5,-121,-58,4423
4/30/2014,53805,Mauritius,ND,3,1,5,108,ND,-56,5,160,7923
4/30/2014,55719,SouthAfrica,ND,-520,73,715,12138,ND,57,-438,3922,68743
4/30/2014,57002,Egypt,ND,-19,-3,4,1261,ND,-8,-73,196,2487
4/30/2014,59994,AfricaTotal,ND,-826,131,1990,21125,ND,50,-632,4426,88187
4/30/2014,60089,Australia,ND,-4595,1000,-790,132466,ND,864,2847,814,158284
4/30/2014,61689,NZealand,ND,-38,7,128,9635,ND,31,180,-126,6121
4/30/2014,66666,EME,ND,-2889,4923,6037,399643,ND,6039,8085,4934,1232095
4/30/2014,69995,ForeignAll,ND,6719,20382,6758,2356162,ND,27908,79712,7255,6752352
4/30/2014,79995,IROTotal,ND,-6177,575,5105,54764,ND,92,2,-91,24
4/30/2014,99996,Total,ND,542,20417,12410,2410922,ND,28000,79213,7663,6752197
5/31/2014,10189,Austria,ND,-86,29,34,8214,ND,-11,-159,-86,12649
5/31/2014,10251,Belgium,ND,12911,0,-12951,15226,ND,-69,129,-253,50530
5/31/2014,10502,Denmark,ND,50,-5,232,6127,ND,16,-795,-860,65457
5/31/2014,10707,Finland,ND,410,11,-165,4945,ND,-154,892,167,35037
5/31/2014,10804,France,ND,-2980,435,6434,116443,ND,274,-2775,-3342,369079
5/31/2014,11002,Germany,ND,-1003,-125,2617,76760,ND,230,303,-4304,303993
5/31/2014,11207,Greece,ND,-226,14,392,2746,ND,275,-89,2388,9597
5/31/2014,11401,Ireland,ND,2296,266,-1134,53745,ND,-879,-9449,17023,252495
5/31/2014,11509,Italy,ND,1665,-444,3686,59539,ND,-13,-1849,-1605,81538
5/31/2014,11703,Luxembourg,ND,6715,785,-4980,80074,ND,-1705,89,768,47824
5/31/2014,12009,Monaco,ND,-14,0,14,0,ND,21,2,-19,7
5/31/2014,12106,Netherlands,ND,-5650,1111,5483,142875,ND,-1749,1841,3295,236217
5/31/2014,12203,Norway,ND,685,375,-743,34121,ND,-16,951,-134,31464
5/31/2014,12319,Portugal,ND,38,-36,-147,2946,ND,-277,-338,498,9180
5/31/2014,12505,Spain,ND,-2702,-188,2600,45806,ND,-71,1988,-472,103488
5/31/2014,12602,Sweden,ND,-7347,203,5348,42702,ND,-43,237,-1213,91171
5/31/2014,12688,Switzerland,ND,3685,147,-3178,10491,ND,-473,2823,-3561,458970
5/31/2014,12807,Turkey,ND,-94,385,150,17677,ND,62,2359,41,27903
5/31/2014,13005,UK,ND,5184,2373,-596,312238,ND,14645,3856,2928,1031784
5/31/2014,13006,Guernsey,ND,-19,13,-13,4843,ND,-122,102,845,29985
5/31/2014,13007,Jersey,ND,278,66,530,9514,ND,-17,284,-2198,71912
5/31/2014,15288,CzechRep,ND,-3,0,0,975,ND,2,-51,16,2750
5/31/2014,15768,Poland,ND,212,104,-44,21344,ND,5,4,-122,11637
5/31/2014,16101,Russia,ND,-176,561,1274,12829,ND,-61,5671,838,52333
5/31/2014,16713,EuroArea,ND,11282,2052,1078,608580,ND,-4108,-9404,14785,1511897
5/31/2014,19992,EurTotal,ND,14385,7337,4012,1126064,ND,10186,6773,10865,3398832
5/31/2014,29998,Canada,ND,4444,4086,-5501,390188,ND,610,2912,-2523,439198
5/31/2014,30104,Argentina,ND,-87,-112,1092,8360,ND,-64,119,491,3614
5/31/2014,30155,Barbados,ND,36,56,-79,2342,ND,71,0,-70,13
5/31/2014,30309,Brazil,ND,2477,586,-5274,56040,ND,239,-2799,2894,137936
5/31/2014,30406,Chile,ND,21,314,-170,13696,ND,219,144,-211,13100
5/31/2014,30503,Colombia,ND,1281,342,-263,16689,ND,-92,0,331,7047
5/31/2014,31704,Mexico,ND,1221,2115,-575,84642,ND,215,1960,-829,70267
5/31/2014,31887,Panama,ND,176,175,-276,6339,ND,-69,337,-107,21521
5/31/2014,32204,Peru,ND,20,131,-84,8383,ND,66,-5,-231,1958
5/31/2014,32409,TrinidadTobago,ND,-3,24,-29,967,ND,5,0,-5,5
5/31/2014,32603,Uruguay,ND,-13,114,-30,3214,ND,-100,0,101,61
5/31/2014,32719,Venezuela,ND,92,34,-115,10739,ND,-19,0,17,70
5/31/2014,34401,CaribTotal,ND,-8862,2886,12700,304462,ND,5274,20524,-5321,1058052
5/31/2014,35254,Aruba,ND,-5,6,-97,174,ND,-1,0,1,0
5/31/2014,35319,Bahamas,ND,-181,8,311,1068,ND,-467,51,632,5374
5/31/2014,35602,Bermuda,ND,99,327,-1072,32050,ND,-701,2758,1243,191530
5/31/2014,35807,BritishVI,ND,342,128,1102,13610,ND,243,1036,845,58016
5/31/2014,36137,Cayman,ND,-8314,1349,12577,248590,ND,1811,13073,-1808,710550
5/31/2014,36188,Curacao,ND,2,35,27,3275,ND,-4,2105,-362,93486
5/31/2014,37206,NethAnt,ND,-39,35,91,4136,ND,4567,2189,-4908,74571
5/31/2014,39001,CaribBanking,ND,-8601,1894,13558,301406,ND,4898,18408,-2870,998126
5/31/2014,39942,LATotal,ND,5398,3848,-6089,212036,ND,377,-245,2471,255763
5/31/2014,41408,China,ND,-650,16,766,975,ND,655,3728,411,96980
5/31/2014,42005,HongKong,ND,-286,32,367,2665,ND,1538,5016,-2466,134668
5/31/2014,42102,India,ND,-19,33,106,3590,ND,-21,8670,2241,103995
5/31/2014,42218,Indonesia,ND,-1691,383,2453,16654,ND,164,20,374,30743
5/31/2014,42501,Israel,ND,2341,336,-2398,16910,ND,15,241,53,49688
5/31/2014,42609,Japan,ND,-1497,462,1263,75439,ND,950,22675,-11235,585627
5/31/2014,43001,Korea,ND,-1095,492,1415,35138,ND,247,5585,243,154331
5/31/2014,43419,Lebanon,ND,0,9,6,618,ND,-5,8,0,107
5/31/2014,43605,Malaysia,ND,1130,129,-240,12504,ND,187,324,187,28863
5/31/2014,44806,Philippines,ND,128,146,-118,7039,ND,22,292,16,16427
5/31/2014,46019,Singapore,ND,-116,82,340,9337,ND,763,884,155,68297
5/31/2014,46302,Taiwan,ND,-301,6,342,196,ND,356,4139,125,109410
5/31/2014,46418,Thailand,ND,-524,-34,284,2984,ND,138,-1077,-77,31652
5/31/2014,46604,UAE,ND,684,83,-582,4274,ND,-216,394,178,5225
5/31/2014,49999,AsiaTotal,ND,-1588,2522,3612,198941,ND,4626,51407,-9689,1424469
5/31/2014,53201,Liberia,ND,0,36,17,1407,ND,-8,181,-10,4585
5/31/2014,53805,Mauritius,ND,1,3,5,117,ND,-141,259,389,8429
5/31/2014,55719,SouthAfrica,ND,8,86,73,12304,ND,-173,1297,-1814,68053
5/31/2014,57002,Egypt,ND,-1,38,-56,1242,ND,-4,199,-234,2448
5/31/2014,59994,AfricaTotal,ND,-28,380,241,21717,ND,-104,2455,-2158,88380
5/31/2014,60089,Australia,ND,-2715,1409,2535,133695,ND,425,610,-1886,157433
5/31/2014,61689,NZealand,ND,-28,20,130,9757,ND,96,-375,245,6087
5/31/2014,66666,EME,ND,5218,7338,-2119,410080,ND,3957,38924,2632,1277608
5/31/2014,69995,ForeignAll,ND,11005,25048,9302,2401517,ND,21774,84542,-8175,6850492
5/31/2014,79995,IROTotal,ND,-9671,1510,6979,53582,ND,18,3,-16,29
5/31/2014,99996,Total,ND,1334,23979,18884,2455119,ND,21792,84439,-8080,6850348
6/30/2014,10189,Austria,ND,-31,10,-321,7871,ND,-48,-116,344,12829
6/30/2014,10251,Belgium,ND,8354,41,-8239,15382,ND,-94,701,512,51649
6/30/2014,10502,Denmark,ND,-702,11,861,6296,ND,-33,2463,990,68877
6/30/2014,10707,Finland,ND,143,13,-407,4694,ND,19,-528,1136,35664
6/30/2014,10804,France,ND,3978,140,1437,121999,ND,392,-6734,-1430,361308
6/30/2014,11002,Germany,ND,-2069,207,5853,80750,ND,71,-2147,911,302829
6/30/2014,11207,Greece,ND,123,-3,-20,2847,ND,238,-84,517,10268
6/30/2014,11401,Ireland,ND,1689,66,-70,55430,ND,91,-15392,45058,282251
6/30/2014,11509,Italy,ND,1447,601,3938,65525,ND,514,-773,2158,83438
6/30/2014,11703,Luxembourg,ND,2721,-207,1522,84111,ND,1562,-139,-277,48970
6/30/2014,12009,Monaco,ND,23,0,-22,1,ND,23,1,-22,10
6/30/2014,12106,Netherlands,ND,-4092,-126,5570,144227,ND,392,2304,2705,241618
6/30/2014,12203,Norway,ND,1451,-172,-1117,34283,ND,355,-76,160,31903
6/30/2014,12319,Portugal,ND,-211,11,200,2945,ND,17,-229,625,9593
6/30/2014,12505,Spain,ND,1000,321,4732,51859,ND,143,1500,1917,107047
6/30/2014,12602,Sweden,ND,-1787,-56,1946,42805,ND,-11,-1643,412,89929
6/30/2014,12688,Switzerland,ND,122,-59,321,10876,ND,-483,-2570,-15612,440305
6/30/2014,12807,Turkey,ND,-97,-81,443,17942,ND,44,-670,-23,27254
6/30/2014,13005,UK,ND,12260,-58,-10029,314411,ND,-17688,3866,-5522,1012440
6/30/2014,13006,Guernsey,ND,72,0,-162,4753,ND,140,102,412,30638
6/30/2014,13007,Jersey,ND,253,-2,-681,9085,ND,-156,269,5375,77401
6/30/2014,15288,CzechRep,ND,-23,4,14,970,ND,-2,29,-10,2767
6/30/2014,15768,Poland,ND,-24,-38,561,21843,ND,11,-180,190,11659
6/30/2014,16101,Russia,ND,628,173,-126,13504,ND,109,2460,303,55205
6/30/2014,16713,EuroArea,ND,13169,1078,13537,636365,ND,3599,-21642,54189,1548043
6/30/2014,19992,EurTotal,ND,24024,710,8050,1158848,ND,-14198,-17618,41703,3408719
6/30/2014,29998,Canada,ND,-7038,717,6573,390440,ND,112,24830,7331,471471
6/30/2014,30104,Argentina,ND,196,601,-775,8382,ND,-13,390,56,4047
6/30/2014,30155,Barbados,ND,-168,26,130,2331,ND,-111,1,103,6
6/30/2014,30309,Brazil,ND,5573,809,-8026,54397,ND,324,6996,-929,144326
6/30/2014,30406,Chile,ND,-473,9,679,13910,ND,-76,-127,209,13106
6/30/2014,30503,Colombia,ND,541,60,-248,17042,ND,0,330,-86,7292
6/30/2014,31704,Mexico,ND,2650,-187,-2524,84581,ND,-84,2145,1958,74286
6/30/2014,31887,Panama,ND,124,-62,-97,6304,ND,-99,-646,-368,20408
6/30/2014,32204,Peru,ND,122,-44,-256,8205,ND,54,32,-2,2042
6/30/2014,32409,TrinidadTobago,ND,-5,11,-9,964,ND,-12,0,13,7
6/30/2014,32603,Uruguay,ND,-199,-21,296,3290,ND,-109,2,88,42
6/30/2014,32719,Venezuela,ND,172,522,139,11572,ND,-38,4,28,64
6/30/2014,34401,CaribTotal,ND,4,-124,9552,313893,ND,-5169,24887,38573,1116343
6/30/2014,35254,Aruba,ND,-8,2,10,178,ND,0,0,0,0
6/30/2014,35319,Bahamas,ND,-216,-2,239,1089,ND,-837,64,1266,5868
6/30/2014,35602,Bermuda,ND,-397,-81,-385,31187,ND,-69,2787,4074,198323
6/30/2014,35807,BritishVI,ND,-221,-37,383,13736,ND,835,611,-628,58834
6/30/2014,36137,Cayman,ND,283,-253,10140,258759,ND,-2719,7656,33201,748688
6/30/2014,36188,Curacao,ND,-51,-9,64,3280,ND,-172,11710,701,105724
6/30/2014,37206,NethAnt,ND,-63,-9,69,4133,ND,-172,12176,-1625,84949
6/30/2014,39001,CaribBanking,ND,-48,-408,9813,310763,ND,-4731,22037,37194,1052626
6/30/2014,39942,LATotal,ND,10760,1761,-12748,211809,ND,-91,9140,997,265809
6/30/2014,41408,China,ND,-1055,2,997,918,ND,202,1794,1559,100535
6/30/2014,42005,HongKong,ND,-270,-7,399,2787,ND,4087,473,-3709,135519
6/30/2014,42102,India,ND,-13,-20,111,3668,ND,-401,3874,960,108427
6/30/2014,42218,Indonesia,ND,319,-222,-337,16415,ND,47,-390,-165,30236
6/30/2014,42501,Israel,ND,-103,-157,255,16905,ND,-142,1627,1547,52720
6/30/2014,42609,Japan,ND,-723,238,166,75119,ND,-161,30166,4847,620479
6/30/2014,43001,Korea,ND,-2870,204,2864,35336,ND,625,1280,-1450,154786
6/30/2014,43419,Lebanon,ND,0,-2,62,678,ND,0,-1,2,108
6/30/2014,43605,Malaysia,ND,254,125,-128,12755,ND,58,151,478,29551
6/30/2014,44806,Philippines,ND,-181,-83,307,7082,ND,-45,424,112,16918
6/30/2014,46019,Singapore,ND,275,4,-139,9477,ND,99,-143,694,68946
6/30/2014,46302,Taiwan,ND,-225,-3,250,218,ND,605,5079,72,115166
6/30/2014,46418,Thailand,ND,169,36,-142,3046,ND,116,2142,-949,32962
6/30/2014,46604,UAE,ND,60,-39,-160,4135,ND,-15,-55,-322,4834
6/30/2014,49999,AsiaTotal,ND,-3969,-77,4844,199739,ND,4839,46506,4331,1480145
6/30/2014,53201,Liberia,ND,0,-11,52,1448,ND,17,26,-5,4623
6/30/2014,53805,Mauritius,ND,-2,-1,17,130,ND,-201,190,259,8678
6/30/2014,55719,SouthAfrica,ND,-691,-78,572,12108,ND,96,1916,-191,69875
6/30/2014,57002,Egypt,ND,6,-3,-55,1189,ND,-9,-25,27,2440
6/30/2014,59994,AfricaTotal,ND,-621,-163,968,21901,ND,305,2460,-588,90557
6/30/2014,60089,Australia,ND,-3653,89,4368,134500,ND,1354,-642,-1147,156999
6/30/2014,61689,NZealand,ND,70,128,641,10596,ND,76,66,230,6459
6/30/2014,66666,EME,ND,7377,1341,-6209,412589,ND,5376,29580,353,1312916
6/30/2014,69995,ForeignAll,ND,19580,3007,22332,2446437,ND,-12900,89450,94353,7021395
6/30/2014,79995,IROTotal,ND,-6030,67,5522,53141,ND,-26,3,29,34
6/30/2014,99996,Total,ND,13550,2980,27978,2499626,ND,-12926,89566,94276,7021264
7/31/2014,10189,Austria,ND,-532,-73,476,7741,ND,-19,-1430,272,11653
7/31/2014,10251,Belgium,ND,6732,-138,-8042,13934,ND,-50,-2087,69,49582
7/31/2014,10502,Denmark,ND,-371,-89,350,6185,ND,-269,-1648,46,67006
7/31/2014,10707,Finland,ND,325,-51,-79,4889,ND,56,-244,-522,34954
7/31/2014,10804,France,ND,-5648,-1147,8528,123731,ND,506,-21836,763,340742
7/31/2014,11002,Germany,ND,-2684,-1253,6895,83708,ND,408,-19511,-246,283480
7/31/2014,11207,Greece,ND,-2,-5,-63,2776,ND,92,-931,463,9892
7/31/2014,11401,Ireland,ND,4900,-326,-5628,54375,ND,18791,-10070,-8511,282461
7/31/2014,11509,Italy,ND,576,-985,911,66028,ND,231,-4495,385,79559
7/31/2014,11703,Luxembourg,ND,3333,-325,-3048,84071,ND,45,-1859,570,47726
7/31/2014,12009,Monaco,ND,27,0,-28,0,ND,-29,-4,35,12
7/31/2014,12106,Netherlands,ND,-3236,-853,3003,143141,ND,683,-13051,2901,232151
7/31/2014,12203,Norway,ND,75,-211,265,34412,ND,-98,-1219,855,31442
7/31/2014,12319,Portugal,ND,-51,-42,1506,4358,ND,-161,-1516,694,8610
7/31/2014,12505,Spain,ND,-369,-674,1213,52029,ND,-124,-3743,-2049,101131
7/31/2014,12602,Sweden,ND,-627,-360,493,42310,ND,90,-2861,310,87467
7/31/2014,12688,Switzerland,ND,1652,-175,-1428,10924,ND,180,-17646,1308,424147
7/31/2014,12807,Turkey,ND,75,20,237,18274,ND,39,1073,134,28500
7/31/2014,13005,UK,ND,3533,-1506,-4707,311731,ND,5688,-13658,-8152,996318
7/31/2014,13006,Guernsey,ND,-11,-7,47,4781,ND,-88,-368,164,30347
7/31/2014,13007,Jersey,ND,93,-43,-281,8854,ND,155,-1034,1709,78231
7/31/2014,15288,CzechRep,ND,22,-17,-42,933,ND,-5,-162,6,2606
7/31/2014,15768,Poland,ND,-1308,-432,1314,21417,ND,8,-732,35,10971
7/31/2014,16101,Russia,ND,603,-534,-969,12603,ND,-18,-6129,167,49224
7/31/2014,16713,EuroArea,ND,3336,-5961,5987,639727,ND,20535,-80893,-5156,1482530
7/31/2014,19992,EurTotal,ND,6496,-9839,1602,1157107,ND,26195,-126176,-8531,3300208
7/31/2014,29998,Canada,ND,3083,-2634,-1559,389330,ND,577,-1106,-11192,459750
7/31/2014,30104,Argentina,ND,289,523,160,9353,ND,-72,250,118,4343
7/31/2014,30155,Barbados,ND,113,3,268,2715,ND,-230,0,229,4
7/31/2014,30309,Brazil,ND,3201,-731,-2078,54789,ND,79,2419,-518,146306
7/31/2014,30406,Chile,ND,1697,-92,-510,15005,ND,-235,-652,598,12817
7/31/2014,30503,Colombia,ND,37,-44,195,17230,ND,35,-6,217,7537
7/31/2014,31704,Mexico,ND,-206,-814,3012,86573,ND,104,903,859,76152
7/31/2014,31887,Panama,ND,14,-4,-22,6292,ND,-126,-968,590,19905
7/31/2014,32204,Peru,ND,1035,-17,-675,8548,ND,79,-14,-70,2037
7/31/2014,32409,TrinidadTobago,ND,-46,1,40,959,ND,-16,0,15,6
7/31/2014,32603,Uruguay,ND,-232,-10,130,3177,ND,-130,0,132,44
7/31/2014,32719,Venezuela,ND,146,-229,87,11576,ND,-69,1,66,62
7/31/2014,34401,CaribTotal,ND,468,-780,5185,318767,ND,-4318,-8926,12459,1115558
7/31/2014,35254,Aruba,ND,-4,0,3,177,ND,1,0,-1,0
7/31/2014,35319,Bahamas,ND,50,-4,155,1290,ND,-496,-100,629,5900
7/31/2014,35602,Bermuda,ND,-748,-121,29,30347,ND,-594,-2262,86,195554
7/31/2014,35807,BritishVI,ND,-30,-56,193,13843,ND,637,251,-2556,57165
7/31/2014,36137,Cayman,ND,167,-532,5230,263625,ND,-2493,3311,9920,759427
7/31/2014,36188,Curacao,ND,-9,-14,-8,3250,ND,54,-8036,243,97985
7/31/2014,37206,NethAnt,ND,23,-14,58,4201,ND,60,-8366,2547,79191
7/31/2014,39001,CaribBanking,ND,-464,-674,5497,315122,ND,-4286,-8384,12810,1052766
7/31/2014,39942,LATotal,ND,5917,-1437,520,216808,ND,-359,1937,2003,269390
7/31/2014,41408,China,ND,-2659,4,2982,1245,ND,-55,7314,2497,110291
7/31/2014,42005,HongKong,ND,-539,-13,689,2924,ND,4124,8143,-1687,146099
7/31/2014,42102,India,ND,119,-4,243,4025,ND,1033,771,1286,111518
7/31/2014,42218,Indonesia,ND,517,385,-222,17094,ND,423,2448,-62,33045
7/31/2014,42501,Israel,ND,-52,-1,81,16933,ND,-367,501,206,53060
7/31/2014,42609,Japan,ND,-365,-884,2540,76410,ND,-411,3565,8864,632497
7/31/2014,43001,Korea,ND,-2712,-273,2990,35341,ND,164,2785,2103,159837
7/31/2014,43419,Lebanon,ND,-10,1,66,735,ND,0,-6,4,106
7/31/2014,43605,Malaysia,ND,52,128,-137,12797,ND,388,-15,50,29973
7/31/2014,44806,Philippines,ND,285,15,-243,7138,ND,-22,122,83,17101
7/31/2014,46019,Singapore,ND,-236,-37,580,9785,ND,161,2754,-1831,70031
7/31/2014,46302,Taiwan,ND,-228,2,281,273,ND,-545,-1427,181,113376
7/31/2014,46418,Thailand,ND,-240,29,394,3229,ND,22,558,101,33643
7/31/2014,46604,UAE,ND,-43,0,78,4169,ND,19,-268,830,5415
7/31/2014,49999,AsiaTotal,ND,-6201,-566,10134,203106,ND,4883,27240,12942,1525210
7/31/2014,53201,Liberia,ND,-5,0,61,1504,ND,2,338,147,5110
7/31/2014,53805,Mauritius,ND,5,0,-20,116,ND,-164,124,33,8670
7/31/2014,55719,SouthAfrica,ND,114,-21,300,12500,ND,134,625,111,70745
7/31/2014,57002,Egypt,ND,-2,-7,42,1222,ND,-10,-133,446,2744
7/31/2014,59994,AfricaTotal,ND,589,-26,397,22861,ND,294,1163,246,92260
7/31/2014,60089,Australia,ND,-5889,-729,6308,134190,ND,1195,4494,-584,162104
7/31/2014,61689,NZealand,ND,-133,-184,297,10576,ND,13,-105,3,6370
7/31/2014,66666,EME,ND,62,-2109,9051,419592,ND,5253,20825,6669,1345663
7/31/2014,69995,ForeignAll,ND,4332,-15806,22546,2457509,ND,28562,-100503,5465,6954920
7/31/2014,79995,IROTotal,ND,1810,-186,332,55098,ND,7,-2,19,57
7/31/2014,99996,Total,ND,6142,-16197,23077,2512648,ND,28569,-101376,6451,6954908
8/31/2014,10189,Austria,ND,19,34,-210,7585,ND,-35,-245,157,11530
8/31/2014,10251,Belgium,ND,9751,4,-10402,13287,ND,-66,1254,1073,51842
8/31/2014,10502,Denmark,ND,-1967,10,2014,6243,ND,173,-929,-500,65750
8/31/2014,10707,Finland,ND,109,19,-82,4934,ND,50,142,-708,34438
8/31/2014,10804,France,ND,-2271,532,3762,125755,ND,564,3778,854,345939
8/31/2014,11002,Germany,ND,-3282,-96,3551,83882,ND,-114,-2538,461,281289
8/31/2014,11207,Greece,ND,-248,11,-110,2430,ND,24,-18,-37,9861
8/31/2014,11401,Ireland,ND,720,331,-1570,53856,ND,1360,8179,2093,294094
8/31/2014,11509,Italy,ND,-905,-301,-4952,59870,ND,460,-1798,342,78563
8/31/2014,11703,Luxembourg,ND,3538,896,-2156,86349,ND,-819,77,674,47658
8/31/2014,12009,Monaco,ND,11,0,-11,0,ND,36,0,-34,13
8/31/2014,12106,Netherlands,ND,-445,1185,-278,143603,ND,1129,4090,2759,240129
8/31/2014,12203,Norway,ND,-931,423,-120,33785,ND,134,520,-238,31858
8/31/2014,12319,Portugal,ND,-25,4,341,4678,ND,-100,-130,270,8650
8/31/2014,12505,Spain,ND,-861,-4,-4361,46804,ND,266,-1356,153,100193
8/31/2014,12602,Sweden,ND,-717,366,-57,41903,ND,24,-210,196,87477
8/31/2014,12688,Switzerland,ND,9,131,-219,10845,ND,701,9290,-695,433443
8/31/2014,12807,Turkey,ND,-228,170,-232,17984,ND,-72,-979,123,27572
8/31/2014,13005,UK,ND,-3667,2332,5928,316325,ND,-18231,-3365,37397,1012119
8/31/2014,13006,Guernsey,ND,-33,12,-69,4690,ND,51,-90,888,31196
8/31/2014,13007,Jersey,ND,102,65,-278,8743,ND,223,-259,2023,80218
8/31/2014,15288,CzechRep,ND,-163,0,161,931,ND,-52,118,-1,2671
8/31/2014,15768,Poland,ND,-6,-321,-349,20741,ND,12,180,35,11197
8/31/2014,16101,Russia,ND,-290,-211,286,12389,ND,20,-768,207,48683
8/31/2014,16713,EuroArea,ND,6011,2627,-16466,631899,ND,2771,11439,8118,1504859
8/31/2014,19992,EurTotal,ND,-2535,5419,-9094,1150897,ND,-14816,14896,48041,3348328
8/31/2014,29998,Canada,ND,-3211,3565,969,390653,ND,928,9697,5494,475870
8/31/2014,30104,Argentina,ND,83,-651,284,9069,ND,-25,-572,216,3961
8/31/2014,30155,Barbados,ND,88,45,-252,2596,ND,227,0,-227,4
8/31/2014,30309,Brazil,ND,6339,1173,-5027,57273,ND,160,15694,-945,161215
8/31/2014,30406,Chile,ND,-346,252,487,15398,ND,34,-63,126,12914
8/31/2014,30503,Colombia,ND,412,133,-105,17669,ND,92,158,10,7797
8/31/2014,31704,Mexico,ND,-359,1854,-122,87946,ND,-117,3759,227,80022
8/31/2014,31887,Panama,ND,-2,172,-76,6387,ND,-9,706,-886,19716
8/31/2014,32204,Peru,ND,-114,198,30,8662,ND,-24,124,152,2289
8/31/2014,32409,TrinidadTobago,ND,-59,16,1,916,ND,27,0,-28,5
8/31/2014,32603,Uruguay,ND,232,112,-262,3260,ND,-120,3,116,43
8/31/2014,32719,Venezuela,ND,175,-727,144,11168,ND,-49,8,26,47
