"Hoofdpost","Subpost 1","Subpost 2","Sector","Subsector","&label7","Period ","waarde"
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2007Q1",-132159
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2007Q2",-161424
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2007Q3",-107989
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2007Q4",-12099
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2008Q1",122.4
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2008Q2",10362.8
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2008Q3",60706
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2008Q4",49774.7
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2009Q1",70273.5
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2009Q2",76781.1
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2009Q3",77312.4
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2009Q4",80157.6
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2010Q1",102728.9
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2010Q2",103703.6
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2010Q3",108077.5
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2010Q4",105602.2
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2011Q1",86738.1
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2011Q2",107395.4
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2011Q3",124283.3
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2011Q4",106855.1
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2012Q1",139977.6
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2012Q2",149611.6
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2012Q3",146519.3
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2012Q4",150843.8
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2013Q1",178348
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2013Q2",153539.8
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2013Q3",169479
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2013Q4",147610.2
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2014Q1",157084.7
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2014Q2",163488.3
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2014Q3",168382.7
"Net portfolio investment ","Net equity and shares in investment funds ","Total ","Total ","Total ","Total ","2014Q4",101131.4
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2003Q2",-402409
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2003Q3",-404428
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2003Q4",-357908
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2004Q1",-362061
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2004Q2",-364896
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2004Q3",-353679
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2004Q4",-347191
"Net portfolio investment ","Net debt securities ","Total ","Total ","Total ","Total ","2005Q1",-338811
